rank,domain,open_page_rank,fcp,lcp,traffic,bounce,conv
1,facebook.com,10.0,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
2,fonts.googleapis.com,10.0,0.205,0.442,97.9456425,0.38084608259145425,0.009820652906159999
3,youtube.com,10.0,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
4,google.com,10.0,0.6250016022995324,0.7130016126251726,97.9456425,0.38084608259145425,0.009820652906159999
5,googletagmanager.com,10.0,0.234,0.4705,97.9456425,0.38084608259145425,0.009820652906159999
6,instagram.com,10.0,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
7,twitter.com,10.0,0.6610017243931218,3.1147658771048796,97.9456425,0.38084608259145425,0.009820652906159999
8,linkedin.com,10.0,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
9,fonts.gstatic.com,10.0,0.204,0.4415,97.9456425,0.38084608259145425,0.009820652906159999
10,gmpg.org,10.0,0.241,0.241,97.9456425,0.38084608259145425,0.009820652906159999
11,maps.google.com,9.45,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
12,ajax.googleapis.com,9.42,1.1615480967465406,1.2415492456225297,97.9456425,0.38084608259145425,0.009820652906159999
13,play.google.com,9.31,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
14,youtu.be,9.24,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
15,cdnjs.cloudflare.com,9.14,0.441,0.441,97.9456425,0.38084608259145425,0.009820652906159999
16,drive.google.com,8.97,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
17,support.google.com,8.9,0.44169863084746225,0.45269863084746226,97.9456425,0.38084608259145425,0.009820652906159999
18,wordpress.org,8.84,0.3620150760831616,1.3240086149046637,97.9456425,0.38084608259145425,0.009820652906159999
19,docs.google.com,8.8,1.218595352718442,1.2305953527184421,97.9456425,0.38084608259145425,0.009820652906159999
20,plus.google.com,8.73,1.039716391303091,1.3197221679330466,97.9456425,0.38084608259145425,0.009820652906159999
21,pinterest.com,8.72,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
22,bit.ly,8.7,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
23,github.com,8.64,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
24,policies.google.com,8.62,0.6110027812956661,0.6875047358670429,97.9456425,0.38084608259145425,0.009820652906159999
25,en.wikipedia.org,8.6,0.4144011999999999,0.5708117750000001,97.9456425,0.38084608259145425,0.009820652906159999
26,amazon.com,8.56,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
27,tiktok.com,8.53,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
28,creativecommons.org,8.47,0.32639395633829055,6.4203438720725154,97.9456425,0.38084608259145425,0.009820652906159999
29,developers.google.com,8.46,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
30,itunes.apple.com,8.46,1.028,1.591,97.9456425,0.38084608259145425,0.009820652906159999
31,vimeo.com,8.39,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
32,cloudflare.com,8.39,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
33,apps.apple.com,8.38,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
34,goo.gl,8.38,1.0055862381113552,1.4620530366443305,97.9456425,0.38084608259145425,0.009820652906159999
35,medium.com,8.34,0.45431575928192336,1.0629973462961375,97.9456425,0.38084608259145425,0.009820652906159999
36,secure.gravatar.com,8.33,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
37,reddit.com,8.32,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
38,accounts.google.com,8.27,1.0235743363868006,1.0355743363868004,97.9456425,0.38084608259145425,0.009820652906159999
39,open.spotify.com,8.25,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
40,sites.google.com,8.21,1.2420940244797312,1.2420940244797312,97.9456425,0.38084608259145425,0.009820652906159999
41,soundcloud.com,8.15,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
42,flickr.com,8.14,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
43,t.me,8.09,0.511,0.891,97.9456425,0.38084608259145425,0.009820652906159999
44,lh3.googleusercontent.com,8.08,1.2260066849999998,1.4615066849999998,97.9456425,0.38084608259145425,0.009820652906159999
45,cdn.jsdelivr.net,8.08,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
46,ec.europa.eu,8.05,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
47,microsoft.com,8.02,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
48,ncbi.nlm.nih.gov,8.0,0.684159471030513,1.1992192726669555,97.9456425,0.38084608259145425,0.009820652906159999
49,google-analytics.com,7.95,1.1728818718744434,1.6481196729597545,97.9456425,0.38084608259145425,0.009820652906159999
50,w3.org,7.95,0.511,0.551,97.9456425,0.38084608259145425,0.009820652906159999
51,bbc.co.uk,7.95,0.0,0.0,97.9456425,0.38084608259145425,0.009820652906159999
